Model,MAE,MSE,RMSE,MAPE,R2,Directional_Accuracy,Training_Time_sec,Inference_Time_sec,Best_Params
LinearRegression,6.864838743776616e-09,1.2427187641728407e-16,1.1147729653040751e-08,8.119659352249718e-11,1.0,0.9824150058616647,0.0075914859771728516,0.0,{}
RandomForest,25.774657159088942,1341.1970641388916,36.622357435573306,0.27707637029663884,-0.9680572433323498,0.6096131301289566,9.801734685897827,0.01003265380859375,"{'n_estimators': 177, 'max_depth': 8}"
SVR,22.19129966708965,1377.9983778296855,37.12140053701753,0.22706083991785062,-1.0220590704388042,0.7420867526377491,0.49812793731689453,0.2214658260345459,"{'C': 0.8144501009817814, 'gamma': 'scale'}"
XGBoost,28.05738233794094,1467.7429527289657,38.31113353490034,0.31078909812888234,-1.1537492339523299,0.3212192262602579,0.2661256790161133,0.004012107849121094,"{'n_estimators': 68, 'learning_rate': 0.03820736788583224, 'max_depth': 6}"
CatBoost,28.279192593724765,1477.9174862108698,38.4436924112509,0.31444314081972763,-1.1686792280986005,0.7409144196951934,0.3437681198120117,0.0,"{'iterations': 127, 'learning_rate': 0.03845837097235179, 'depth': 4}"
LightGBM,29.22116822600463,1532.9730428593969,39.15319965034016,0.3283081020508374,-1.2494671226928933,0.2954279015240328,0.20033597946166992,0.015034198760986328,"{'n_estimators': 83, 'learning_rate': 0.023228968166886688, 'num_leaves': 42}"
Transformer,39.5818977355957,2247.0283203125,47.40283203125,0.4811341464519501,-2.303645393390938,0.4234875444839858,7.658299446105957,0.10277867317199707,"{'epochs': 5, 'seq_len': 10}"
LSTM,47.8315544128418,2969.314208984375,54.49141311645508,0.603661835193634,-3.365570873196325,0.6180308422301305,3.343653678894043,0.05568289756774902,"{'epochs': 5, 'seq_len': 10}"
GRU,52.91974639892578,3831.381103515625,61.89815139770508,0.6576932668685913,-4.6330070104224275,0.4234875444839858,6.435468673706055,0.08066415786743164,"{'epochs': 5, 'seq_len': 10}"
